instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
R1_10_2,R1,BIH,,True,1000,92,83100.98594,140236.822722,499.980727,0.0,0.0,0.0
R1_10_3,R1,BIH,,True,1000,92,93988.471455,134220.907263,531.388622,0.0,0.0,0.0
R1_10_4,R1,BIH,,True,1000,92,100274.407495,125454.880118,562.259631,0.0,0.0,0.0
R1_10_5,R1,BIH,,True,1000,98,79890.36582,158744.726986,490.572737,0.0,0.0,0.0
R1_10_6,R1,BIH,,True,1000,92,78983.170125,130553.943538,533.229315,0.0,0.0,0.0
R1_10_7,R1,BIH,,True,1000,92,90672.776964,128513.119423,547.943354,0.0,0.0,0.0
R1_10_8,R1,BIH,,True,1000,92,104187.104215,124925.936965,549.024525,0.0,0.0,0.0
R1_10_9,R1,BIH,,True,1000,95,84878.800739,153264.94625,492.050462,0.0,0.0,0.0
R2_10_1,R2,BIH,,True,1000,21,73442.537593,132868.462617,1493.139734,0.0,0.0,0.0
R2_10_10,R2,BIH,,True,1000,19,68782.320297,122282.947014,1797.105137,0.0,0.0,0.0
R2_10_2,R2,BIH,,True,1000,19,61067.524236,109219.954976,2040.374428,0.0,0.0,0.0
R2_10_3,R2,BIH,,True,1000,19,49421.877955,120730.425525,2409.898582,0.0,0.0,0.0
R2_10_4,R2,BIH,,True,1000,19,44273.179568,71678.847284,2244.970094,0.0,0.0,0.0
R2_10_5,R2,BIH,,True,1000,19,69610.030041,125126.643092,1861.931562,0.0,0.0,0.0
R2_10_6,R2,BIH,,True,1000,19,65076.257448,106484.344587,2048.530308,0.0,0.0,0.0
R2_10_7,R2,BIH,,True,1000,19,55333.003861,119273.697755,2775.400549,0.0,0.0,0.0
R2_10_8,R2,BIH,,True,1000,19,44200.285654,68174.535727,3000.862027,0.0,0.0,0.0
R2_10_9,R2,BIH,,True,1000,19,67314.854753,124389.197216,2444.665146,0.0,0.0,0.0
RC1_10_1,RC1,BIH,,True,1000,94,66172.195671,121723.394222,663.154813,0.0,0.0,0.0
RC1_10_10,RC1,BIH,,True,1000,94,62265.794907,127750.041835,706.202065,0.0,0.0,0.0
RC1_10_2,RC1,BIH,,True,1000,91,75687.828935,132180.385567,690.468046,0.0,0.0,0.0
RC1_10_3,RC1,BIH,,True,1000,91,79750.82718,121700.378576,718.456475,0.0,0.0,0.0
RC1_10_4,RC1,BIH,,True,1000,90,87935.090113,118086.39501,779.053399,0.0,0.0,0.0
RC1_10_5,RC1,BIH,,True,1000,94,66828.56309,124990.300313,671.657779,0.0,0.0,0.0
RC1_10_6,RC1,BIH,,True,1000,96,65668.869913,126303.224796,679.391291,0.0,0.0,0.0
RC1_10_7,RC1,BIH,,True,1000,94,67519.276399,123132.725947,692.316332,0.0,0.0,0.0
RC1_10_8,RC1,BIH,,True,1000,96,61733.307498,130151.71107,707.996339,0.0,0.0,0.0
RC1_10_9,RC1,BIH,,True,1000,95,63187.296271,131615.74716,721.258773,0.0,0.0,0.0
RC2_10_1,RC2,BIH,,True,1000,28,49611.830664,155591.72992,1761.903012,0.0,0.0,0.0
RC2_10_10,RC2,BIH,,True,1000,19,40974.60632,114862.266882,1711.660105,0.0,0.0,0.0
RC2_10_2,RC2,BIH,,True,1000,24,42116.609663,135235.459022,2108.701899,0.0,0.0,0.0
RC2_10_3,RC2,BIH,,True,1000,21,31942.650335,108315.824876,2315.488454,0.0,0.0,0.0
RC2_10_4,RC2,BIH,,True,1000,18,26843.930997,83946.889153,2678.167249,0.0,0.0,0.0
RC2_10_5,RC2,BIH,,True,1000,23,47878.216335,134197.737185,1956.734461,0.0,0.0,0.0
RC2_10_6,RC2,BIH,,True,1000,23,38572.878052,143533.992719,1997.209827,0.0,0.0,0.0
RC2_10_7,RC2,BIH,,True,1000,21,36274.129931,129840.13951,1955.188299,0.0,0.0,0.0
RC2_10_8,RC2,BIH,,True,1000,19,38866.931375,118861.302471,2122.711535,0.0,0.0,0.0
RC2_10_9,RC2,BIH,,True,1000,20,41129.212094,122894.83639,2094.57173,0.0,0.0,0.0
C1_10_1,C1,GWO,2026.0,True,1000,715,357223.607708,717104.530327,46.73246,-568.2242990654205,-655.277667637296,-410.26510461429126
C1_10_10,C1,GWO,2026.0,True,1000,461,316017.288493,488233.620587,49.874036,-260.15625,-234.6961512873635,-159.5085156536079
C1_10_2,C1,GWO,2026.0,True,1000,581,339842.379244,639469.033498,50.971726,-492.8571428571429,-483.88437711683895,-320.20251881637626
C1_10_3,C1,GWO,2026.0,True,1000,457,316260.063597,547557.245951,49.836044,-366.32653061224494,-331.150106107092,-228.21529799922766
C1_10_4,C1,GWO,2026.0,True,1000,339,300842.235812,458386.515491,47.591389,-239.0,-317.594887268359,-171.48866634829733
C1_10_5,C1,GWO,2026.0,True,1000,670,345249.999944,667900.199533,54.898344,-482.60869565217394,-530.1139359794738,-347.24761600288804
C1_10_6,C1,GWO,2026.0,True,1000,659,342998.683565,654162.531857,53.137441,-423.015873015873,-451.7308185435585,-310.24596013805666
C1_10_7,C1,GWO,2026.0,True,1000,632,340322.372318,624701.741986,52.361885,-485.1851851851852,-540.8292303129108,-330.37434485514285
C1_10_8,C1,GWO,2026.0,True,1000,605,334710.536545,594147.818007,52.091826,-391.869918699187,-380.3756157961651,-256.2236869432897
C1_10_9,C1,GWO,2026.0,True,1000,523,321727.80197,531432.925791,51.673151,-393.39622641509436,-405.6440768877598,-241.77289824020067
C2_10_1,C2,GWO,2026.0,True,1000,520,282477.351429,1264675.88945,51.928002,-1429.4117647058824,-1191.0071994005475,-977.1310579664153
C2_10_10,C2,GWO,2026.0,True,1000,347,262109.270339,834376.549208,48.097312,-837.8378378378379,-587.8288166850587,-482.6574931843796
C2_10_2,C2,GWO,2026.0,True,1000,411,270526.80848,1036149.865667,50.654532,-1041.6666666666665,-459.5510814718065,-641.1381861001203
C2_10_3,C2,GWO,2026.0,True,1000,302,255155.073612,801905.898657,44.563824,-694.7368421052632,-369.48228065671043,-450.42989104712314
C2_10_4,C2,GWO,2026.0,True,1000,189,247152.393897,549475.789466,43.31286,-455.88235294117646,-628.7755413858238,-319.66690579912625
C2_10_5,C2,GWO,2026.0,True,1000,470,276538.571966,1135110.584055,51.143694,-1242.857142857143,-1051.3033193404485,-834.861845127368
C2_10_6,C2,GWO,2026.0,True,1000,430,270591.271894,1045433.248558,50.087404,-948.7804878048781,-414.90732981783617,-618.8507554873162
C2_10_7,C2,GWO,2026.0,True,1000,399,267357.112009,981411.365828,50.16192,-827.9069767441861,-462.35808209004085,-557.3304776990472
